"label","vowel_label.1tier","F1.1tier","F2.1tier","participant_id","context","position","dominance","awareness","vowel_label.2tier","F1.2tier","F2.2tier","vowel_label","detailed_context","stimuli_id","mel_F1.1tier","mel_F2.1tier","mel_F1.2tier","mel_F2.2tier"
"P1226-2","v",710.6837429,1635.455085,"P12","em","",63.75,137,"x",710.6837429,1635.455085,NA,"em",26,788.218899506253,1355.27831171383,788.218899506253,1355.27831171383
"P1226-3","v",716.342799,1534.100634,"P12","em","",63.75,137,"x",716.342799,1534.100634,NA,"em",26,792.72217757302,1305.37215174705,792.72217757302,1305.37215174705
"P1227-1","v",660.2052944,1465.838293,"P12","em","",63.75,137,"x",660.2052944,1465.838293,NA,"em",27,747.231630200651,1270.46748880079,747.231630200651,1270.46748880079
"P1227-2","v",705.6867495,1739.063406,"P12","em","",63.75,137,"x",705.6867495,1739.063406,NA,"em",27,784.227423553827,1404.10388049651,784.227423553827,1404.10388049651
"P1227-3","v",643.3881028,1592.759386,"P12","em","",63.75,137,"x",643.3881028,1592.759386,NA,"em",27,733.237955710857,1334.52453960851,733.237955710857,1334.52453960851
"P1228-1","v",687.3637145,1643.438194,"P12","em","",63.75,137,"x",687.3637145,1643.438194,NA,"em",28,769.469035342455,1359.11665145049,769.469035342455,1359.11665145049
"P1228-2","v",679.9759593,1675.515034,"P12","em","",63.75,137,"x",679.9759593,1675.515034,NA,"em",28,763.463314663419,1374.40873510404,763.463314663419,1374.40873510404
"P1228-3","v",680.4978582,1574.799029,"P12","em","",63.75,137,"x",680.4978582,1574.799029,NA,"em",28,763.888635662547,1325.67853494413,763.888635662547,1325.67853494413
"P1229-1","v",668.0130286,1633.979682,"P12","em","",63.75,137,"x",668.0130286,1633.979682,NA,"em",29,753.669781157588,1354.56749041058,753.669781157588,1354.56749041058
"P1229-2","v",656.3035678,1569.98275,"P12","em","",63.75,137,"x",656.3035678,1569.98275,NA,"em",29,744.000458191895,1323.29449879924,744.000458191895,1323.29449879924
"P1229-3","v",692.7951795,1547.037911,"P12","em","",63.75,137,"x",692.7951795,1547.037911,NA,"em",29,773.864066832461,1311.86701158503,773.864066832461,1311.86701158503
"P1230-1","v",740.1959801,1320.594798,"P12","em","",63.75,137,"x",740.1959801,1320.594798,NA,"em",30,811.508005797649,1192.3872835344,811.508005797649,1192.3872835344
"P1230-2","v",772.6548677,1245.761044,"P12","em","",63.75,137,"x",772.6548677,1245.761044,NA,"em",30,836.57760742977,1149.93789211703,836.57760742977,1149.93789211703
"P1230-3","v",753.5129063,1335.978634,"P12","em","",63.75,137,"x",753.5129063,1335.978634,NA,"em",30,821.861007656457,1200.91870608393,821.861007656457,1200.91870608393
"P1316-1","v",706.3449041,1496.883288,"P13","em","",34.24,141,"x",706.3449041,1496.883288,NA,"em",16,784.753951946286,1286.47616784953,784.753951946286,1286.47616784953
"P1316-2","v",649.9121058,1525.34123,"P13","em","",34.24,141,"x",649.9121058,1525.34123,NA,"em",16,738.687300757275,1300.95330764017,738.687300757275,1300.95330764017
"P1316-3","v",638.8335641,1515.153819,"P13","em","",34.24,141,"x",638.8335641,1515.153819,NA,"em",16,729.417948183579,1295.79214826138,729.417948183579,1295.79214826138
"P1317-1","v",612.7033522,1722.525458,"P13","em","",34.24,141,"x",612.7033522,1722.525458,NA,"em",17,707.247555562867,1396.45110206049,707.247555562867,1396.45110206049
"P1317-2","v",645.6937203,1712.26173,"P13","em","",34.24,141,"x",645.6937203,1712.26173,NA,"em",17,735.166801113391,1391.67534204518,735.166801113391,1391.67534204518
"P1317-3","v",619.3496961,1643.397729,"P13","em","",34.24,141,"x",619.3496961,1643.397729,NA,"em",17,712.928272704626,1359.09722855981,712.928272704626,1359.09722855981
"P1318-1","v",669.8849078,1736.281938,"P13","em","",34.24,141,"x",669.8849078,1736.281938,NA,"em",18,755.207846204578,1402.82041912627,755.207846204578,1402.82041912627
"P1318-2","v",606.7790778,1682.801259,"P13","em","",34.24,141,"x",606.7790778,1682.801259,NA,"em",18,702.159703352392,1377.85353248091,702.159703352392,1377.85353248091
"P1318-3","v",636.9409649,1715.324244,"P13","em","",34.24,141,"x",636.9409649,1715.324244,NA,"em",18,727.826753641972,1393.10246764038,727.826753641972,1393.10246764038
"P1319-1","v",650.5753143,1594.524838,"P13","em","",34.24,141,"x",650.5753143,1594.524838,NA,"em",19,739.239787682761,1335.39033318083,739.239787682761,1335.39033318083
"P1319-2","v",638.8937975,1550.2777,"P13","em","",34.24,141,"x",638.8937975,1550.2777,NA,"em",19,729.468552212272,1313.48761782321,729.468552212272,1313.48761782321
"P1319-3","v",632.8656218,1616.988878,"P13","em","",34.24,141,"x",632.8656218,1616.988878,NA,"em",19,724.392765542973,1346.34910452297,724.392765542973,1346.34910452297
"P1320-1","v",690.5137992,1637.74404,"P13","em","",34.24,141,"x",690.5137992,1637.74404,NA,"em",20,772.020111338014,1356.38019875049,772.020111338014,1356.38019875049
"P1320-2","v",667.7738751,1727.526368,"P13","em","",34.24,141,"x",667.7738751,1727.526368,NA,"em",20,753.473124548222,1398.77072227265,753.473124548222,1398.77072227265
"P1320-3","v",709.4704958,1649.959854,"P13","em","",34.24,141,"x",709.4704958,1649.959854,NA,"em",20,787.25108862973,1362.2426236817,787.25108862973,1362.2426236817
